candidate_number,name_ar,name_en,governorate,party,gender,additional_info
88,المرشح العراقي 88,Iraqi Candidate 88,كركوك,الحزب الشيوعي العراقي,أنثى,معلومات إضافية للمرشح 88
89,المرشح العراقي 89,Iraqi Candidate 89,ميسان,العزم,أنثى,معلومات إضافية للمرشح 89
90,المرشح العراقي 90,Iraqi Candidate 90,دهوك,النصر,ذكر,معلومات إضافية للمرشح 90
91,المرشح العراقي 91,Iraqi Candidate 91,ذي قار,تقدم,ذكر,معلومات إضافية للمرشح 91
92,المرشح العراقي 92,Iraqi Candidate 92,الحلة,تقدم,أنثى,معلومات إضافية للمرشح 92
93,المرشح العراقي 93,Iraqi Candidate 93,ذي قار,تحالف عزم,ذكر,معلومات إضافية للمرشح 93
94,المرشح العراقي 94,Iraqi Candidate 94,ذي قار,الحزب الشيوعي العراقي,ذكر,معلومات إضافية للمرشح 94
95,المرشح العراقي 95,Iraqi Candidate 95,ميسان,تحالف عزم,ذكر,معلومات إضافية للمرشح 95
96,المرشح العراقي 96,Iraqi Candidate 96,الحلة,تحالف السيادة,ذكر,معلومات إضافية للمرشح 96
97,المرشح العراقي 97,Iraqi Candidate 97,صلاح الدين,الاتحاد الوطني الكردستاني,ذكر,معلومات إضافية للمرشح 97
98,المرشح العراقي 98,Iraqi Candidate 98,القادسية,تحالف عزم,ذكر,معلومات إضافية للمرشح 98
99,المرشح العراقي 99,Iraqi Candidate 99,دهوك,سائرون,أنثى,معلومات إضافية للمرشح 99
100,المرشح العراقي 100,Iraqi Candidate 100,القادسية,النصر,ذكر,معلومات إضافية للمرشح 100
101,المرشح العراقي 101,Iraqi Candidate 101,أربيل,الحكمة,أنثى,معلومات إضافية للمرشح 101
102,المرشح العراقي 102,Iraqi Candidate 102,البصرة,تقدم,أنثى,معلومات إضافية للمرشح 102
103,المرشح العراقي 103,Iraqi Candidate 103,السليمانية,الحزب الشيوعي العراقي,أنثى,معلومات إضافية للمرشح 103
104,المرشح العراقي 104,Iraqi Candidate 104,ذي قار,الاتحاد الوطني الكردستاني,ذكر,معلومات إضافية للمرشح 104
105,المرشح العراقي 105,Iraqi Candidate 105,البصرة,حركة امتداد,أنثى,معلومات إضافية للمرشح 105
106,المرشح العراقي 106,Iraqi Candidate 106,القادسية,سائرون,ذكر,معلومات إضافية للمرشح 106
107,المرشح العراقي 107,Iraqi Candidate 107,البصرة,الحزب الديمقراطي الكردستاني,أنثى,معلومات إضافية للمرشح 107
108,المرشح العراقي 108,Iraqi Candidate 108,ديالى,الفتح,ذكر,معلومات إضافية للمرشح 108
109,المرشح العراقي 109,Iraqi Candidate 109,أربيل,النصر,أنثى,معلومات إضافية للمرشح 109
110,المرشح العراقي 110,Iraqi Candidate 110,ديالى,النصر,ذكر,معلومات إضافية للمرشح 110
111,المرشح العراقي 111,Iraqi Candidate 111,الأنبار,سائرون,أنثى,معلومات إضافية للمرشح 111
112,المرشح العراقي 112,Iraqi Candidate 112,كربلاء,تحالف السيادة,أنثى,معلومات إضافية للمرشح 112
113,المرشح العراقي 113,Iraqi Candidate 113,نجف,تحالف عزم,ذكر,معلومات إضافية للمرشح 113
114,المرشح العراقي 114,Iraqi Candidate 114,الأنبار,العزم,ذكر,معلومات إضافية للمرشح 114
115,المرشح العراقي 115,Iraqi Candidate 115,كركوك,تقدم,أنثى,معلومات إضافية للمرشح 115
116,المرشح العراقي 116,Iraqi Candidate 116,واسط,حركة امتداد,أنثى,معلومات إضافية للمرشح 116
117,المرشح العراقي 117,Iraqi Candidate 117,نجف,الحكمة,أنثى,معلومات إضافية للمرشح 117
118,المرشح العراقي 118,Iraqi Candidate 118,ميسان,تحالف السيادة,ذكر,معلومات إضافية للمرشح 118
119,المرشح العراقي 119,Iraqi Candidate 119,ميسان,الحزب الديمقراطي الكردستاني,أنثى,معلومات إضافية للمرشح 119
120,المرشح العراقي 120,Iraqi Candidate 120,الأنبار,حركة امتداد,ذكر,معلومات إضافية للمرشح 120
121,المرشح العراقي 121,Iraqi Candidate 121,صلاح الدين,الحكمة,ذكر,معلومات إضافية للمرشح 121
122,المرشح العراقي 122,Iraqi Candidate 122,أربيل,تقدم,ذكر,معلومات إضافية للمرشح 122
123,المرشح العراقي 123,Iraqi Candidate 123,كركوك,الحزب الشيوعي العراقي,أنثى,معلومات إضافية للمرشح 123
124,المرشح العراقي 124,Iraqi Candidate 124,أربيل,الحزب الديمقراطي الكردستاني,أنثى,معلومات إضافية للمرشح 124
125,المرشح العراقي 125,Iraqi Candidate 125,أربيل,دولة القانون,أنثى,معلومات إضافية للمرشح 125
126,المرشح العراقي 126,Iraqi Candidate 126,أربيل,الاتحاد الوطني الكردستاني,أنثى,معلومات إضافية للمرشح 126
127,المرشح العراقي 127,Iraqi Candidate 127,البصرة,العزم,ذكر,معلومات إضافية للمرشح 127
128,المرشح العراقي 128,Iraqi Candidate 128,واسط,الحكمة,أنثى,معلومات إضافية للمرشح 128
129,المرشح العراقي 129,Iraqi Candidate 129,نجف,حركة امتداد,أنثى,معلومات إضافية للمرشح 129
130,المرشح العراقي 130,Iraqi Candidate 130,ميسان,الاتحاد الوطني الكردستاني,ذكر,معلومات إضافية للمرشح 130
131,المرشح العراقي 131,Iraqi Candidate 131,ذي قار,الوطنية,أنثى,معلومات إضافية للمرشح 131
132,المرشح العراقي 132,Iraqi Candidate 132,نجف,الحزب الديمقراطي الكردستاني,أنثى,معلومات إضافية للمرشح 132
133,المرشح العراقي 133,Iraqi Candidate 133,دهوك,حركة امتداد,أنثى,معلومات إضافية للمرشح 133
134,المرشح العراقي 134,Iraqi Candidate 134,أربيل,النصر,ذكر,معلومات إضافية للمرشح 134
135,المرشح العراقي 135,Iraqi Candidate 135,ميسان,حركة امتداد,ذكر,معلومات إضافية للمرشح 135
136,المرشح العراقي 136,Iraqi Candidate 136,ميسان,الوطنية,ذكر,معلومات إضافية للمرشح 136
137,المرشح العراقي 137,Iraqi Candidate 137,بابل,تقدم,ذكر,معلومات إضافية للمرشح 137
138,المرشح العراقي 138,Iraqi Candidate 138,واسط,تحالف عزم,ذكر,معلومات إضافية للمرشح 138
139,المرشح العراقي 139,Iraqi Candidate 139,بغداد,العزم,ذكر,معلومات إضافية للمرشح 139
140,المرشح العراقي 140,Iraqi Candidate 140,كركوك,العزم,أنثى,معلومات إضافية للمرشح 140
141,المرشح العراقي 141,Iraqi Candidate 141,بابل,سائرون,أنثى,معلومات إضافية للمرشح 141
142,المرشح العراقي 142,Iraqi Candidate 142,الحلة,تقدم,أنثى,معلومات إضافية للمرشح 142
143,المرشح العراقي 143,Iraqi Candidate 143,المثنى,الحزب الديمقراطي الكردستاني,أنثى,معلومات إضافية للمرشح 143
144,المرشح العراقي 144,Iraqi Candidate 144,القادسية,سائرون,أنثى,معلومات إضافية للمرشح 144
145,المرشح العراقي 145,Iraqi Candidate 145,المثنى,الحزب الشيوعي العراقي,أنثى,معلومات إضافية للمرشح 145
146,المرشح العراقي 146,Iraqi Candidate 146,نجف,العزم,ذكر,معلومات إضافية للمرشح 146
147,المرشح العراقي 147,Iraqi Candidate 147,ميسان,دولة القانون,ذكر,معلومات إضافية للمرشح 147
148,المرشح العراقي 148,Iraqi Candidate 148,واسط,الحزب الشيوعي العراقي,ذكر,معلومات إضافية للمرشح 148
149,المرشح العراقي 149,Iraqi Candidate 149,القادسية,الحزب الشيوعي العراقي,ذكر,معلومات إضافية للمرشح 149
150,المرشح العراقي 150,Iraqi Candidate 150,واسط,سائرون,ذكر,معلومات إضافية للمرشح 150
151,المرشح العراقي 151,Iraqi Candidate 151,صلاح الدين,تقدم,أنثى,معلومات إضافية للمرشح 151
152,المرشح العراقي 152,Iraqi Candidate 152,البصرة,الحكمة,ذكر,معلومات إضافية للمرشح 152
153,المرشح العراقي 153,Iraqi Candidate 153,دهوك,دولة القانون,ذكر,معلومات إضافية للمرشح 153
154,المرشح العراقي 154,Iraqi Candidate 154,كربلاء,الاتحاد الوطني الكردستاني,أنثى,معلومات إضافية للمرشح 154
155,المرشح العراقي 155,Iraqi Candidate 155,نجف,سائرون,أنثى,معلومات إضافية للمرشح 155
156,المرشح العراقي 156,Iraqi Candidate 156,السليمانية,الوطنية,ذكر,معلومات إضافية للمرشح 156
157,المرشح العراقي 157,Iraqi Candidate 157,واسط,تقدم,أنثى,معلومات إضافية للمرشح 157
158,المرشح العراقي 158,Iraqi Candidate 158,أربيل,حركة امتداد,أنثى,معلومات إضافية للمرشح 158
159,المرشح العراقي 159,Iraqi Candidate 159,واسط,الحزب الشيوعي العراقي,أنثى,معلومات إضافية للمرشح 159
160,المرشح العراقي 160,Iraqi Candidate 160,ديالى,الوطنية,أنثى,معلومات إضافية للمرشح 160
161,المرشح العراقي 161,Iraqi Candidate 161,ميسان,العزم,ذكر,معلومات إضافية للمرشح 161
162,المرشح العراقي 162,Iraqi Candidate 162,السليمانية,حركة امتداد,ذكر,معلومات إضافية للمرشح 162
163,المرشح العراقي 163,Iraqi Candidate 163,دهوك,الاتحاد الوطني الكردستاني,ذكر,معلومات إضافية للمرشح 163
164,المرشح العراقي 164,Iraqi Candidate 164,صلاح الدين,دولة القانون,أنثى,معلومات إضافية للمرشح 164
165,المرشح العراقي 165,Iraqi Candidate 165,كربلاء,تحالف عزم,ذكر,معلومات إضافية للمرشح 165
166,المرشح العراقي 166,Iraqi Candidate 166,الحلة,الفتح,أنثى,معلومات إضافية للمرشح 166
167,المرشح العراقي 167,Iraqi Candidate 167,بابل,تقدم,ذكر,معلومات إضافية للمرشح 167
168,المرشح العراقي 168,Iraqi Candidate 168,نينوى,النصر,ذكر,معلومات إضافية للمرشح 168
169,المرشح العراقي 169,Iraqi Candidate 169,دهوك,سائرون,أنثى,معلومات إضافية للمرشح 169
170,المرشح العراقي 170,Iraqi Candidate 170,صلاح الدين,الحزب الشيوعي العراقي,ذكر,معلومات إضافية للمرشح 170
171,المرشح العراقي 171,Iraqi Candidate 171,نينوى,الحزب الديمقراطي الكردستاني,أنثى,معلومات إضافية للمرشح 171
172,المرشح العراقي 172,Iraqi Candidate 172,نينوى,تقدم,ذكر,معلومات إضافية للمرشح 172
173,المرشح العراقي 173,Iraqi Candidate 173,المثنى,دولة القانون,أنثى,معلومات إضافية للمرشح 173
174,المرشح العراقي 174,Iraqi Candidate 174,المثنى,الحكمة,ذكر,معلومات إضافية للمرشح 174
175,المرشح العراقي 175,Iraqi Candidate 175,الحلة,حركة امتداد,ذكر,معلومات إضافية للمرشح 175
176,المرشح العراقي 176,Iraqi Candidate 176,المثنى,العزم,أنثى,معلومات إضافية للمرشح 176
177,المرشح العراقي 177,Iraqi Candidate 177,المثنى,النصر,أنثى,معلومات إضافية للمرشح 177
178,المرشح العراقي 178,Iraqi Candidate 178,نينوى,الحكمة,ذكر,معلومات إضافية للمرشح 178
179,المرشح العراقي 179,Iraqi Candidate 179,صلاح الدين,الوطنية,ذكر,معلومات إضافية للمرشح 179
180,المرشح العراقي 180,Iraqi Candidate 180,دهوك,سائرون,ذكر,معلومات إضافية للمرشح 180
181,المرشح العراقي 181,Iraqi Candidate 181,السليمانية,الحزب الشيوعي العراقي,أنثى,معلومات إضافية للمرشح 181
182,المرشح العراقي 182,Iraqi Candidate 182,دهوك,سائرون,أنثى,معلومات إضافية للمرشح 182
183,المرشح العراقي 183,Iraqi Candidate 183,الأنبار,الحزب الشيوعي العراقي,ذكر,معلومات إضافية للمرشح 183
184,المرشح العراقي 184,Iraqi Candidate 184,الأنبار,العزم,أنثى,معلومات إضافية للمرشح 184
185,المرشح العراقي 185,Iraqi Candidate 185,السليمانية,الوطنية,أنثى,معلومات إضافية للمرشح 185
186,المرشح العراقي 186,Iraqi Candidate 186,السليمانية,الحكمة,ذكر,معلومات إضافية للمرشح 186
187,المرشح العراقي 187,Iraqi Candidate 187,البصرة,الفتح,أنثى,معلومات إضافية للمرشح 187
188,المرشح العراقي 188,Iraqi Candidate 188,ديالى,الحزب الديمقراطي الكردستاني,ذكر,معلومات إضافية للمرشح 188
189,المرشح العراقي 189,Iraqi Candidate 189,المثنى,تحالف السيادة,أنثى,معلومات إضافية للمرشح 189
190,المرشح العراقي 190,Iraqi Candidate 190,نينوى,تقدم,ذكر,معلومات إضافية للمرشح 190
191,المرشح العراقي 191,Iraqi Candidate 191,الحلة,الحزب الديمقراطي الكردستاني,ذكر,معلومات إضافية للمرشح 191
192,المرشح العراقي 192,Iraqi Candidate 192,ذي قار,العزم,ذكر,معلومات إضافية للمرشح 192
193,المرشح العراقي 193,Iraqi Candidate 193,القادسية,العزم,أنثى,معلومات إضافية للمرشح 193
194,المرشح العراقي 194,Iraqi Candidate 194,بابل,الحزب الشيوعي العراقي,ذكر,معلومات إضافية للمرشح 194
195,المرشح العراقي 195,Iraqi Candidate 195,المثنى,الحكمة,أنثى,معلومات إضافية للمرشح 195
196,المرشح العراقي 196,Iraqi Candidate 196,السليمانية,النصر,أنثى,معلومات إضافية للمرشح 196
197,المرشح العراقي 197,Iraqi Candidate 197,ميسان,حركة امتداد,ذكر,معلومات إضافية للمرشح 197
198,المرشح العراقي 198,Iraqi Candidate 198,بغداد,دولة القانون,ذكر,معلومات إضافية للمرشح 198
199,المرشح العراقي 199,Iraqi Candidate 199,القادسية,الاتحاد الوطني الكردستاني,ذكر,معلومات إضافية للمرشح 199
200,المرشح العراقي 200,Iraqi Candidate 200,بغداد,النصر,ذكر,معلومات إضافية للمرشح 200
201,المرشح العراقي 201,Iraqi Candidate 201,كربلاء,الحزب الديمقراطي الكردستاني,ذكر,معلومات إضافية للمرشح 201
202,المرشح العراقي 202,Iraqi Candidate 202,الحلة,الحكمة,ذكر,معلومات إضافية للمرشح 202
203,المرشح العراقي 203,Iraqi Candidate 203,دهوك,النصر,ذكر,معلومات إضافية للمرشح 203
204,المرشح العراقي 204,Iraqi Candidate 204,كركوك,الحزب الديمقراطي الكردستاني,ذكر,معلومات إضافية للمرشح 204
205,المرشح العراقي 205,Iraqi Candidate 205,المثنى,العزم,أنثى,معلومات إضافية للمرشح 205
206,المرشح العراقي 206,Iraqi Candidate 206,السليمانية,الفتح,ذكر,معلومات إضافية للمرشح 206
207,المرشح العراقي 207,Iraqi Candidate 207,ميسان,دولة القانون,ذكر,معلومات إضافية للمرشح 207
208,المرشح العراقي 208,Iraqi Candidate 208,ميسان,تحالف السيادة,ذكر,معلومات إضافية للمرشح 208
209,المرشح العراقي 209,Iraqi Candidate 209,بغداد,تحالف عزم,ذكر,معلومات إضافية للمرشح 209
210,المرشح العراقي 210,Iraqi Candidate 210,نينوى,الوطنية,ذكر,معلومات إضافية للمرشح 210
211,المرشح العراقي 211,Iraqi Candidate 211,الأنبار,تحالف السيادة,ذكر,معلومات إضافية للمرشح 211
212,المرشح العراقي 212,Iraqi Candidate 212,كركوك,النصر,أنثى,معلومات إضافية للمرشح 212
213,المرشح العراقي 213,Iraqi Candidate 213,بغداد,تحالف عزم,أنثى,معلومات إضافية للمرشح 213
214,المرشح العراقي 214,Iraqi Candidate 214,واسط,سائرون,أنثى,معلومات إضافية للمرشح 214
215,المرشح العراقي 215,Iraqi Candidate 215,ذي قار,سائرون,أنثى,معلومات إضافية للمرشح 215
216,المرشح العراقي 216,Iraqi Candidate 216,ذي قار,الحزب الشيوعي العراقي,أنثى,معلومات إضافية للمرشح 216
217,المرشح العراقي 217,Iraqi Candidate 217,دهوك,العزم,ذكر,معلومات إضافية للمرشح 217
218,المرشح العراقي 218,Iraqi Candidate 218,البصرة,الوطنية,ذكر,معلومات إضافية للمرشح 218
219,المرشح العراقي 219,Iraqi Candidate 219,السليمانية,حركة امتداد,أنثى,معلومات إضافية للمرشح 219
220,المرشح العراقي 220,Iraqi Candidate 220,بابل,الحزب الديمقراطي الكردستاني,أنثى,معلومات إضافية للمرشح 220
221,المرشح العراقي 221,Iraqi Candidate 221,صلاح الدين,الحزب الديمقراطي الكردستاني,أنثى,معلومات إضافية للمرشح 221
222,المرشح العراقي 222,Iraqi Candidate 222,بابل,الحكمة,أنثى,معلومات إضافية للمرشح 222
223,المرشح العراقي 223,Iraqi Candidate 223,الحلة,الحزب الشيوعي العراقي,ذكر,معلومات إضافية للمرشح 223
224,المرشح العراقي 224,Iraqi Candidate 224,السليمانية,الوطنية,أنثى,معلومات إضافية للمرشح 224
225,المرشح العراقي 225,Iraqi Candidate 225,واسط,دولة القانون,أنثى,معلومات إضافية للمرشح 225
226,المرشح العراقي 226,Iraqi Candidate 226,البصرة,تقدم,أنثى,معلومات إضافية للمرشح 226
227,المرشح العراقي 227,Iraqi Candidate 227,نينوى,الحكمة,ذكر,معلومات إضافية للمرشح 227
228,المرشح العراقي 228,Iraqi Candidate 228,الحلة,حركة امتداد,أنثى,معلومات إضافية للمرشح 228
229,المرشح العراقي 229,Iraqi Candidate 229,المثنى,الحزب الديمقراطي الكردستاني,أنثى,معلومات إضافية للمرشح 229
230,المرشح العراقي 230,Iraqi Candidate 230,صلاح الدين,دولة القانون,أنثى,معلومات إضافية للمرشح 230
231,المرشح العراقي 231,Iraqi Candidate 231,كربلاء,الحكمة,ذكر,معلومات إضافية للمرشح 231
232,المرشح العراقي 232,Iraqi Candidate 232,ميسان,الوطنية,أنثى,معلومات إضافية للمرشح 232
233,المرشح العراقي 233,Iraqi Candidate 233,الحلة,سائرون,أنثى,معلومات إضافية للمرشح 233
